Item, Mentions, Type
Villamagna, 16, Region
Bonsi, 16, Region
Patriarca, 16, Region
"unaltra", 16, Region
Dentro, 16, Region
Quelle, 16, Region
Oggi, 16, Region
LE, 16, Region
SALVAMENTO, 16, Region
SUOI, 16, Region
SENZA, 16, Region
Lucifero, 16, Region
Alesso, 16, Region
Matelda, 16, Region
Cuculia, 16, Region
Neri Pegolotti, 16, Region
Tocco, 16, Region
Patre, 16, Region
Spirito Sancto, 16, Region
Sputa, 16, Region
Avorio, 16, Region
Giannello Scrignario, 16, Region
Giannel, 16, Region
Galeone, 16, Region
Eccomi, 16, Region
Disse Giannello, 16, Region
Vedine, 16, Region
Partia, 16, Region
Adivenne, 16, Region
Domenico, 16, Region
Madonna Agnesa, 16, Region
Tenete, 16, Region
Ambruogio, 16, Region
Ambmogio, 16, Region
Arezzo, 16, Region
Ghita, 16, Region
Posto, 16, Region
Esse, 16, Region
Arimino, 16, Region
Credi, 16, Region
Madonna Isabella, 16, Region
Maravigliosamente, 16, Region
Esci, 16, Region
Galluzzi, 16, Region
Postosi, 16, Region
Venduti, 16, Region
Quando Anichino, 16, Region
Stranamente, 16, Region
Dite, 16, Region
Arriguccio Berlinghieri, 16, Region
Battutala, 16, Region
Pervenuti, 16, Region
Fratei, 16, Region
Col, 16, Region
Guidi, 16, Region
Avete, 16, Region
Argo, 16, Region
Teneva, 16, Region
Speri, 16, Region
Trattiamo, 16, Region
Ucciso, 16, Region
Disse Nicostrato, 16, Region
Fattisi, 16, Region
Disse Pirro, 16, Region
Come Nicostrato, 16, Region
Manifestissima, 16, Region
Tingoccio Mini, 16, Region
Tura, 16, Region
Porta Salaia, 16, Region
Avendosi, 16, Region
Ambruogio Anselmini, 16, Region
Camporeggi, 16, Region
Mita, 16, Region
Alquanto, 16, Region
Perdute, 16, Region
Zefiro, 16, Region
Levaronsi, 16, Region
Palemone, 16, Region
Estimar, 16, Region
UOMO, 16, Region
DONNA, 16, Region
Chiesetta, 16, Region
Avvegna, 16, Region
Melan, 16, Region
Ambruogia, 16, Region
Guasparuolo, 16, Region
Tornato Guasparuolo, 16, Region
Guasparruolo, 16, Region
Mazzo, 16, Region
Kyrie, 16, Region
Sanctus, 16, Region
Bonaccorri, 16, Region
Ginestreto, 16, Region
Naldino, 16, Region
Biliuzza, 16, Region
Lotto, 16, Region
Buglietto, 16, Region
Binguccio, 16, Region
Poggio, 16, Region
Nuto Buglietti, 16, Region
Belcolor, 16, Region
Berlinzone, 16, Region
Abruzzi, 16, Region
Settignano, 16, Region
Allora Calandrin, 16, Region
Buffailmacco, 16, Region
Diessi, 16, Region
Partito Calandrino, 16, Region
Sappi, 16, Region
Lieto, 16, Region
Vedendo, 16, Region
Andianne, 16, Region
Canto, 16, Region
Macina, 16, Region
Entrossene, 16, Region
Venuta Elissa, 16, Region
Piccarda, 16, Region
Sinagaglia, 16, Region
Ciuta, 16, Region
Entrato, 16, Region
Volle, 16, Region
Niccola, 16, Region
San Lepidio, 16, Region
"vandò", 16, Region
Nicola, 16, Region
Verzaia, 16, Region
Chi Calandrino, 16, Region
Videro, 16, Region
Vendilo, 16, Region
Come Brun, 16, Region
Maraviglia, 16, Region
Rispose Bruno, 16, Region
Ragunata, 16, Region
Mala, 16, Region
India, 16, Region
Valdarno, 16, Region
Bastiti, 16, Region
Madonna Elena, 16, Region
Chiamalo, 16, Region
Parte, 16, Region
Benché, 16, Region
Vedeva, 16, Region
Mino, 16, Region
Camollia, 16, Region
Partitosi, 16, Region
Villa, 16, Region
Cocomero, 16, Region
Legnaia, 16, Region
Michele Scotto, 16, Region
Co, 16, Region
Norrueca, 16, Region
Narsia, 16, Region
Avendoselo, 16, Region
Quaresima, 16, Region
Diceva, 16, Region
Porcograsso, 16, Region
Vannaccena, 16, Region
Ipocrasso, 16, Region
Avicena, 16, Region
Vallecchio, 16, Region
Saliceto, 16, Region
Bergamina, 16, Region
Pasignano, 16, Region
Civillari, 16, Region
Pinca, 16, Region
Laterino, 16, Region
Tamagnin, 16, Region
Meta, 16, Region
Manico, 16, Region
Scopa, 16, Region
Squacchera, 16, Region
Vedrete, 16, Region
Partitisi, 16, Region
Allora Buffalmacco, 16, Region
Soleva, 16, Region
Cignano, 16, Region
Tornata, 16, Region
Annovera, 16, Region
Conobbe Salabaetto, 16, Region
Come Dioneo, 16, Region
Pietro Canigiano, 16, Region
Comendò, 16, Region
Rinuccio Palermini, 16, Region
Francesca de, 16, Region
Lazzari, 16, Region
Tutti, 16, Region
Rinuccio Alessandro, 16, Region
Francesca, 16, Region
Sapere, 16, Region
Usimbalda, 16, Region
Buondì, 16, Region
Disse Nello, 16, Region
Mercato Vecchio, 16, Region
Simon, 16, Region
Come Calandrino, 16, Region
Angiolieri, 16, Region
Torrenieri, 16, Region
Pigliatel, 16, Region
Fortarrigo, 16, Region
Niccolò Cornacchini, 16, Region
Camaldoli, 16, Region
Parti, 16, Region
Maestri, 16, Region
Monna Tessa, 16, Region
Laudevoli, 16, Region
Ismontati, 16, Region
Altra, 16, Region
Universalmente, 16, Region
Vieri de, 16, Region
Cerchi, 16, Region
Corso Donati, 16, Region
Rispose Ciacco, 16, Region
Postisi, 16, Region
Filippo Argenti, 16, Region
Mossosi, 16, Region
Cavicciuli, 16, Region
Partitosi Biondello, 16, Region
Avendo Melisso, 16, Region
Camminarono, 16, Region
Antiocia, 16, Region
Giosefo Melisso, 16, Region
Maravigliossi Melisso, 16, Region
Doman, 16, Region
Ama, 16, Region
Salamon, 16, Region
Donno Gianni, 16, Region
Leggiadre, 16, Region
Dirovvi, 16, Region
Barolo, 16, Region
Zita Carapresa, 16, Region
Comar Gemmata, 16, Region
Bitonto, 16, Region
Innamorate, 16, Region
MAGNIFICAMENTE, 16, Region
FATTI, 16, Region
Ancora, 16, Region
Grandissima, 16, Region
Dironne, 16, Region
Figiovanni, 16, Region
Cavalcando, 16, Region
Menollo, 16, Region
Messer Ruggeri, 16, Region
Dilicate, 16, Region
Santafiore, 16, Region
Radicofani, 16, Region
Corniglia, 16, Region
Menò, 16, Region
Maladetta, 16, Region
Spedale, 16, Region
Simil, 16, Region
Nobili, 16, Region
Certissima, 16, Region
Cattaio, 16, Region
Ismontato, 16, Region
Quivi Natan, 16, Region
Vivi, 16, Region
Venistivi, 16, Region
Piccol, 16, Region
Tolga Iddio, 16, Region
Allora Mitridanes, 16, Region
Messer Gentil de, 16, Region
Carisendi, 16, Region
Gentil Carisendi, 16, Region
Niccoluccio Caccianemico, 16, Region
Vinto, 16, Region
Messer Gentile, 16, Region
Vorrei, 16, Region
Alcun, 16, Region
Madonna Dianora, 16, Region
Morbide, 16, Region
Frioli, 16, Region
Udine, 16, Region
Ansaldo Gradense, 16, Region
Voglio, 16, Region
Messere Ansaldo, 16, Region
Splendide, 16, Region
Stabia, 16, Region
Monforte, 16, Region
Uno, 16, Region
Palizzi, 16, Region
Magna, 16, Region
Bernardo Puccini, 16, Region
Maravigliossi Minuccio, 16, Region
Mico, 16, Region
Muoviti, 16, Region
Merzede, 16, Region
Rispose Bernardo, 16, Region
Cefalù, 16, Region
Calatabellotta, 16, Region
Magnifiche, 16, Region
Ottavian Cesare, 16, Region
Publio Quinzio Fulvo, 16, Region
Dal, 16, Region
Quivi Tito, 16, Region
Tolga, 16, Region
Facciano, 16, Region
Publio, 16, Region
Usai, 16, Region
Tito Quinzio, 16, Region
Era Tito, 16, Region
Varrone, 16, Region
Maravigliossi Varrone, 16, Region
Publio Ambusto, 16, Region
Acaia, 16, Region
Santissima, 16, Region
Egitto, 16, Region
Tesino, 16, Region
Finito, 16, Region
Fra, 16, Region
Dimmi, 16, Region
Guarda, 16, Region
Lungo, 16, Region
Barbaria, 16, Region
Sarebbemi, 16, Region
Adalieta, 16, Region
Cotale, 16, Region
Mansuete, 16, Region
Sopravenne, 16, Region
Come Gualtieri, 16, Region
Addorne, 16, Region
Maria Novella, 16, Region
CONCLUSIONE, 16, Region
Primieramente, 16, Region
Sanza, 16, Region
Cinciglione, 16, Region
Scoiaio, 16, Region
Quali, 16, Region
Scrittura, 16, Region
Carlo Magno, 16, Region
Germia, 16, Region
QUI, 16, Region
Egypt, 118, Country
"Lao Peoples Democratic Republic", 32, Country
Falkland Islands Malvinas, 26, Country
Timor-Leste, 20, Country
China, 13, Country
Congo, The Democratic Republic of the, 10, Country
Holy See Vatican City State, 7, Country
Monaco, 7, Country
Cuba, 4, Country
Brunei Darussalam, 4, Country
Turks and Caicos Islands, 3, Country
Romania, 2, Country
United States, 2, Country
Solomon Islands, 1, Country
British Indian Ocean Territory, 1, Country
"Côte dIvoire", 1, Country
Japan, 1, Country
Italy, 1, Country
Israel, 1, Country
Portugal, 1, Country
Spain, 1, Country
Greece, 1, Country
Canada, 1, Country
Norway, 1, Country
France, 1, Country
Hungary, 1, Country
Australia, 1, Country
Colombia, 1, Country
Russian Federation, 1, Country
Sweden, 1, Country
Latvia, 1, Country
Switzerland, 1, Country
Finland, 1, Country
Bulgaria, 1, Country
Germany, 1, Country
South Africa, 1, Country
Indonesia, 1, Country
Brazil, 1, Country
Argentina, 1, Country
Venezuela, Bolivarian Republic of, 1, Country
Mexico, 1, Country
Lesotho, 1, Country
Panama, 1, Country
